Indicador,Nombre Indicador,Clave área geográfica,Entidad,Municipio,Periodo,Valor
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/12,113.0955528723
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/11,117.7194403233
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/10,115.9594584715
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/09,108.7677490422
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/08,114.3266642144
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/07,112.8039937469
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/06,114.446678512
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/05,115.8296435926
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/04,111.6044876883
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/03,111.201252989
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/02,107.8140543459
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/01,111.0174522205
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/12,114.000994501
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/11,116.1806764848
